Time (s),Gauge Length (Pixels),Strain (%)
3.4,59.0,5.357142857142857
3.44,59.0,5.357142857142857
3.48,59.0,5.357142857142857
3.52,59.0,5.357142857142857
3.56,60.0,7.142857142857143
3.6,60.0,7.142857142857143
3.64,60.0,7.142857142857143
3.68,61.0,8.928571428571429
3.72,61.0,8.928571428571429
3.76,62.0,10.714285714285714
3.8,62.0,10.714285714285714
3.84,62.0,10.714285714285714
3.88,62.0,10.714285714285714
3.92,63.0,12.5
3.96,63.0,12.5
4.0,63.0,12.5
4.04,64.0,14.285714285714286
4.08,64.0,14.285714285714286
4.12,64.0,14.285714285714286
4.16,65.0,16.071428571428573
4.2,65.0,16.071428571428573
4.24,65.0,16.071428571428573
4.28,66.0,17.857142857142858
4.32,66.0,17.857142857142858
4.36,66.0,17.857142857142858
4.4,68.0,21.428571428571427
4.44,66.0,17.857142857142858
4.48,68.0,21.428571428571427
4.52,68.0,21.428571428571427
4.56,69.0,23.214285714285715
4.6,68.0,21.428571428571427
4.64,69.0,23.214285714285715
4.68,69.0,23.214285714285715
4.72,70.0,25.0
4.76,70.0,25.0
4.8,69.0,23.214285714285715
4.84,71.0,26.785714285714285
4.88,71.0,26.785714285714285
4.92,72.0,28.571428571428573
4.96,71.0,26.785714285714285
5.0,72.0,28.571428571428573
5.04,72.0,28.571428571428573
5.08,73.0,30.357142857142858
5.12,74.0,32.142857142857146
5.16,72.0,28.571428571428573
5.2,74.0,32.142857142857146
5.24,74.0,32.142857142857146
5.28,75.0,33.92857142857143
5.32,75.0,33.92857142857143
5.36,75.0,33.92857142857143
5.4,76.0,35.714285714285715
5.44,75.0,33.92857142857143
5.48,76.0,35.714285714285715
5.52,77.0,37.5
5.56,77.0,37.5
5.6,77.0,37.5
5.64,78.0,39.285714285714285
5.68,78.0,39.285714285714285
5.72,78.0,39.285714285714285
5.76,79.0,41.07142857142857
5.8,79.0,41.07142857142857
5.84,79.0,41.07142857142857
5.88,80.0,42.857142857142854
5.92,80.0,42.857142857142854
5.96,81.0,44.642857142857146
6.0,81.0,44.642857142857146
6.04,81.0,44.642857142857146
6.08,82.0,46.42857142857143
6.12,82.0,46.42857142857143
6.16,82.0,46.42857142857143
6.2,82.0,46.42857142857143
6.24,83.0,48.214285714285715
6.28,83.0,48.214285714285715
6.32,85.0,51.785714285714285
6.36,84.0,50.0
6.4,84.0,50.0
6.44,85.0,51.785714285714285
6.48,85.0,51.785714285714285
6.52,86.0,53.57142857142857
6.56,86.0,53.57142857142857
6.6,86.0,53.57142857142857
6.64,86.0,53.57142857142857
6.68,87.0,55.357142857142854
6.72,87.0,55.357142857142854
6.76,89.0,58.92857142857143
6.8,87.0,55.357142857142854
6.84,88.0,57.142857142857146
6.88,89.0,58.92857142857143
6.92,89.0,58.92857142857143
6.96,90.0,60.714285714285715
7.0,89.0,58.92857142857143
7.04,91.0,62.5
7.08,91.0,62.5
7.12,90.0,60.714285714285715
7.16,92.0,64.28571428571429
7.2,92.0,64.28571428571429
7.24,91.0,62.5
7.28,93.0,66.07142857142857
7.32,93.0,66.07142857142857
7.36,93.0,66.07142857142857
7.4,93.0,66.07142857142857
7.44,94.0,67.85714285714286
7.48,95.0,69.64285714285714
7.52,95.0,69.64285714285714
7.56,95.0,69.64285714285714
7.6,95.0,69.64285714285714
7.64,95.0,69.64285714285714
7.68,96.0,71.42857142857143
7.72,97.0,73.21428571428571
7.76,98.0,75.0
7.8,97.0,73.21428571428571
7.84,97.0,73.21428571428571
7.88,98.0,75.0
7.92,97.0,73.21428571428571
7.96,99.0,76.78571428571429
8.0,99.0,76.78571428571429
8.04,100.0,78.57142857142857
8.08,99.0,76.78571428571429
8.12,100.0,78.57142857142857
8.16,100.0,78.57142857142857
8.2,101.0,80.35714285714286
8.24,101.0,80.35714285714286
8.28,102.0,82.14285714285714
8.32,102.0,82.14285714285714
8.36,101.0,80.35714285714286
8.4,104.0,85.71428571428571
8.44,102.0,82.14285714285714
8.48,103.0,83.92857142857143
8.52,105.0,87.5
8.56,104.0,85.71428571428571
8.6,103.0,83.92857142857143
8.64,106.0,89.28571428571429
8.68,105.0,87.5
8.72,105.0,87.5
8.76,106.0,89.28571428571429
8.8,106.0,89.28571428571429
8.84,107.0,91.07142857142857
8.88,107.0,91.07142857142857
8.92,107.0,91.07142857142857
8.96,108.0,92.85714285714286
9.0,107.0,91.07142857142857
9.04,109.0,94.64285714285714
9.08,109.0,94.64285714285714
9.12,109.0,94.64285714285714
9.16,109.0,94.64285714285714
9.2,110.0,96.42857142857143
9.24,111.0,98.21428571428571
9.28,110.0,96.42857142857143
9.32,111.0,98.21428571428571
9.36,111.0,98.21428571428571
9.4,112.0,100.0
9.44,112.0,100.0
9.48,112.0,100.0
9.52,114.0,103.57142857142857
9.56,113.0,101.78571428571429
9.6,113.0,101.78571428571429
9.64,114.0,103.57142857142857
9.68,115.0,105.35714285714286
9.72,113.0,101.78571428571429
9.76,116.0,107.14285714285714
9.8,115.0,105.35714285714286
9.84,115.0,105.35714285714286
9.88,117.0,108.92857142857143
9.92,116.0,107.14285714285714
9.96,116.0,107.14285714285714
10.0,118.0,110.71428571428571
10.04,117.0,108.92857142857143
10.08,117.0,108.92857142857143
10.12,119.0,112.5
10.16,119.0,112.5
10.2,119.0,112.5
10.24,118.0,110.71428571428571
10.28,120.0,114.28571428571429
10.32,120.0,114.28571428571429
10.36,120.0,114.28571428571429
10.4,121.0,116.07142857142857
10.44,120.0,114.28571428571429
10.48,122.0,117.85714285714286
10.52,122.0,117.85714285714286
10.56,123.0,119.64285714285714
10.6,122.0,117.85714285714286
10.64,122.0,117.85714285714286
10.68,124.0,121.42857142857143
10.72,124.0,121.42857142857143
10.76,123.0,119.64285714285714
10.8,125.0,123.21428571428571
10.84,124.0,121.42857142857143
10.88,124.0,121.42857142857143
10.92,126.0,125.0
10.96,125.0,123.21428571428571
11.0,125.0,123.21428571428571
11.04,127.0,126.78571428571429
11.08,126.0,125.0
11.12,127.0,126.78571428571429
11.16,127.0,126.78571428571429
11.2,127.0,126.78571428571429
11.24,128.0,128.57142857142858
11.28,129.0,130.35714285714286
11.32,129.0,130.35714285714286
11.36,129.0,130.35714285714286
11.4,128.0,128.57142857142858
11.44,131.0,133.92857142857142
11.48,129.0,130.35714285714286
11.52,131.0,133.92857142857142
11.56,130.0,132.14285714285714
11.6,131.0,133.92857142857142
11.64,131.0,133.92857142857142
11.68,132.0,135.71428571428572
11.72,132.0,135.71428571428572
11.76,132.0,135.71428571428572
11.8,133.0,137.5
11.84,133.0,137.5
11.88,132.0,135.71428571428572
11.92,134.0,139.28571428571428
11.96,134.0,139.28571428571428
12.0,134.0,139.28571428571428
12.04,135.0,141.07142857142858
12.08,135.0,141.07142857142858
12.12,135.0,141.07142857142858
12.16,136.0,142.85714285714286
12.2,136.0,142.85714285714286
12.24,135.0,141.07142857142858
12.28,137.0,144.64285714285714
12.32,137.0,144.64285714285714
12.36,138.0,146.42857142857142
12.4,137.0,144.64285714285714
12.44,138.0,146.42857142857142
12.48,138.0,146.42857142857142
